Edad,trabajo,estado_civil,educacion,saldo,credito_vivienda,prestamo,contacto,campaign,contactos_previos,poutcome,suscrito
52.0,entrepreneur,divorced,secondary,57888,yes,yes,telephone,47.0,0.0,nonexistent,no
69.0,entrepreneur,single,tertiary,84810,no,no,cellular,11.0,3.0,success,yes
32.0,blue-collar,divorced,primary,60244,no,no,telephone,16.0,1.0,failure,no
64.0,technician,single,tertiary,71237,no,no,telephone,44.0,4.0,failure,no
73.0,entrepreneur,single,secondary,82901,yes,no,cellular,23.0,4.0,failure,no
39.0,entrepreneur,single,tertiary,66575,no,no,cellular,12.0,2.0,nonexistent,yes
31.0,management,married,secondary,52087,no,no,telephone,38.0,2.0004504098729843,failure,no
43.0,services,married,primary,29915,no,no,cellular,24.0,3.0,nonexistent,yes
45.0,blue-collar,divorced,primary,41642,yes,yes,telephone,31.0,3.0,failure,yes
40.0,student,divorced,secondary,54611,no,yes,cellular,38.0,2.0004504098729843,failure,yes
31.0,retired,married,secondary,44889,yes,no,cellular,36.0,2.0,nonexistent,yes
41.0,admin,divorced,primary,39215,yes,no,cellular,1.0,2.0,nonexistent,yes
19.0,admin,divorced,secondary,487,no,yes,cellular,26.0,1.0,failure,no
62.0,unemployed,married,primary,97662,no,no,telephone,17.0,1.0,nonexistent,yes
31.0,retired,single,tertiary,90594,yes,yes,telephone,17.0,2.0,nonexistent,yes
73.0,admin,married,primary,91644,no,no,cellular,25.131025957972806,3.0,success,yes
68.0,admin,single,primary,72035,yes,no,telephone,27.0,4.0,success,no
20.0,technician,single,secondary,57040,yes,yes,cellular,30.0,0.0,success,no
64.0,technician,divorced,secondary,99470,no,no,telephone,41.0,4.0,nonexistent,yes
63.0,services,married,primary,59295,yes,no,telephone,38.0,2.0,success,no
64.0,self-employed,single,tertiary,-809,yes,no,telephone,12.0,3.0,failure,no
35.0,unemployed,married,primary,61490,no,yes,cellular,21.0,4.0,success,no
55.0,admin,divorced,tertiary,78243,yes,no,telephone,42.0,2.0,success,no
52.0,retired,divorced,secondary,0,no,no,telephone,34.0,1.0,nonexistent,yes
42.0,unemployed,married,primary,4813,no,yes,cellular,21.0,1.0,failure,yes
54.0,self-employed,divorced,tertiary,85561,yes,yes,telephone,13.0,0.0,success,yes
27.0,student,single,primary,80453,yes,no,cellular,23.0,3.0,success,no
74.0,self-employed,divorced,tertiary,31975,no,yes,telephone,11.0,4.0,nonexistent,no
34.0,retired,divorced,tertiary,22992,yes,yes,cellular,25.131025957972806,2.0,nonexistent,yes
56.0,entrepreneur,married,primary,41736,yes,yes,cellular,48.0,1.0,nonexistent,no
39.0,unemployed,married,secondary,-763,no,no,telephone,18.0,3.0,failure,no
43.0,technician,divorced,primary,2943,yes,no,telephone,25.0,2.0004504098729843,success,no
61.0,retired,married,secondary,51917,no,no,cellular,34.0,3.0,nonexistent,yes
42.0,services,single,primary,90055,no,yes,telephone,18.0,3.0,failure,no
37.0,retired,divorced,tertiary,45798,yes,no,cellular,28.0,4.0,success,yes
42.0,blue-collar,married,primary,26694,yes,yes,telephone,4.0,3.0,nonexistent,no
27.0,self-employed,divorced,primary,77478,no,no,telephone,6.0,4.0,nonexistent,yes
58.0,retired,single,secondary,76305,yes,yes,cellular,37.0,2.0,failure,yes
35.0,blue-collar,married,secondary,51920,yes,yes,telephone,20.0,2.0004504098729843,failure,yes
64.0,retired,divorced,primary,50378,yes,no,cellular,5.0,1.0,success,no
25.0,management,divorced,secondary,14201,yes,yes,telephone,8.0,2.0,nonexistent,yes
57.0,services,married,secondary,16936,yes,no,cellular,17.0,0.0,success,yes
61.0,blue-collar,divorced,primary,59752,yes,yes,cellular,20.0,0.0,success,yes
36.0,self-employed,divorced,primary,63309,no,no,cellular,45.0,1.0,nonexistent,yes
59.0,services,divorced,tertiary,0,yes,no,cellular,25.131025957972806,4.0,nonexistent,yes
58.0,management,single,tertiary,1228,yes,yes,telephone,29.0,0.0,failure,yes
54.0,unemployed,married,primary,57405,yes,no,telephone,36.0,0.0,success,no
23.0,retired,single,tertiary,66946,yes,no,cellular,28.0,1.0,success,yes
69.0,self-employed,divorced,secondary,-1592,no,no,cellular,8.0,1.0,nonexistent,yes
43.0,retired,married,primary,Auto%#,no,no,cellular,14.0,3.0,success,no
73.0,management,divorced,primary,56087,yes,no,telephone,34.0,4.0,nonexistent,yes
23.0,blue-collar,divorced,primary,50986,yes,no,cellular,22.0,4.0,success,yes
74.0,student,married,secondary,72715,yes,yes,telephone,48.0,1.0,success,no
50.0,unemployed,married,primary,Auto%#,no,no,cellular,23.0,1.0,failure,no
46.18152922479251,unemployed,divorced,secondary,88866,yes,yes,cellular,23.0,4.0,success,no
23.0,retired,divorced,tertiary,47827,no,yes,telephone,12.0,4.0,failure,yes
72.0,self-employed,divorced,tertiary,52079,no,yes,telephone,5.0,1.0,success,yes
65.0,self-employed,single,primary,76943,no,yes,telephone,25.131025957972806,2.0,nonexistent,yes
21.0,admin,divorced,secondary,59467,yes,yes,telephone,3.0,0.0,failure,no
28.0,entrepreneur,single,primary,52501,no,no,telephone,24.0,0.0,nonexistent,yes
47.0,management,divorced,tertiary,59855,yes,yes,cellular,5.0,2.0,failure,no
41.0,unemployed,divorced,primary,89822,yes,no,cellular,35.0,1.0,success,no
72.0,technician,married,primary,47693,yes,yes,telephone,8.0,1.0,success,no
48.0,student,divorced,secondary,80904,yes,yes,telephone,23.0,2.0,success,no
57.0,entrepreneur,divorced,secondary,82581,no,yes,cellular,7.0,3.0,failure,yes
54.0,blue-collar,divorced,tertiary,31385,no,yes,telephone,38.0,2.0004504098729843,failure,yes
53.0,self-employed,single,secondary,75641,yes,no,telephone,13.0,4.0,success,no
23.0,student,single,tertiary,93866,yes,yes,telephone,37.0,3.0,success,yes
19.0,unemployed,divorced,secondary,75152,yes,no,telephone,6.0,4.0,success,yes
45.0,technician,divorced,primary,96304,no,yes,telephone,27.0,0.0,nonexistent,yes
21.0,management,divorced,primary,43373,no,no,telephone,42.0,2.0,failure,yes
23.0,blue-collar,single,tertiary,45612,yes,yes,cellular,16.0,3.0,success,yes
71.0,retired,divorced,tertiary,22761,no,yes,cellular,28.0,1.0,nonexistent,yes
66.0,management,divorced,secondary,8701,no,yes,cellular,3.0,3.0,failure,no
47.0,technician,single,secondary,18822,yes,yes,cellular,1.0,3.0,failure,no
68.0,management,single,secondary,33847,no,yes,cellular,19.0,2.0,nonexistent,no
74.0,student,divorced,secondary,21103,yes,yes,telephone,33.0,2.0,nonexistent,no
43.0,self-employed,single,primary,84979,no,no,cellular,37.0,1.0,failure,no
68.0,unemployed,single,primary,14944,no,no,cellular,5.0,3.0,failure,yes
62.0,unemployed,divorced,secondary,97493,yes,yes,cellular,34.0,1.0,success,yes
61.0,retired,single,tertiary,12974,no,no,telephone,38.0,4.0,success,no
46.18152922479251,services,single,secondary,98672,no,no,cellular,47.0,3.0,nonexistent,no
71.0,student,single,secondary,24314,yes,yes,telephone,42.0,1.0,success,no
21.0,admin,married,tertiary,27852,yes,yes,telephone,42.0,0.0,success,no
36.0,technician,single,primary,2953,yes,yes,cellular,24.0,1.0,failure,no
37.0,services,married,primary,87818,yes,no,telephone,48.0,1.0,failure,yes
37.0,services,married,secondary,26448,no,no,telephone,22.0,4.0,success,yes
66.0,services,divorced,tertiary,29771,no,no,cellular,23.0,2.0,success,yes
64.0,self-employed,divorced,primary,53378,no,no,cellular,24.0,4.0,failure,no
18.0,entrepreneur,married,primary,52895,no,yes,telephone,40.0,0.0,nonexistent,yes
43.0,admin,single,tertiary,56737,no,no,telephone,32.0,3.0,failure,no
55.0,management,married,tertiary,58810,yes,no,telephone,28.0,1.0,nonexistent,yes
28.0,blue-collar,divorced,primary,69892,no,yes,cellular,26.0,2.0,nonexistent,no
53.0,management,single,secondary,18069,no,yes,cellular,18.0,2.0004504098729843,success,no
30.0,admin,single,secondary,12695,no,yes,telephone,15.0,4.0,failure,no
60.0,admin,divorced,primary,51461,no,no,cellular,25.131025957972806,0.0,success,yes
50.0,unemployed,single,secondary,-597,yes,no,cellular,49.0,3.0,nonexistent,yes
67.0,services,single,tertiary,65821,no,yes,telephone,21.0,1.0,nonexistent,no
27.0,entrepreneur,married,tertiary,65264,no,yes,cellular,2.0,3.0,success,no
22.0,admin,divorced,tertiary,9430,yes,no,cellular,25.131025957972806,0.0,failure,yes
40.0,entrepreneur,married,secondary,32017,yes,no,cellular,25.0,4.0,success,no
27.0,admin,divorced,tertiary,31646,no,no,cellular,26.0,0.0,failure,no
61.0,services,married,tertiary,26922,no,no,telephone,39.0,2.0,nonexistent,yes
46.18152922479251,admin,divorced,primary,9543,no,no,telephone,17.0,3.0,failure,no
30.0,technician,single,tertiary,47649,no,no,telephone,47.0,1.0,failure,no
57.0,self-employed,single,primary,90099,yes,no,telephone,16.0,3.0,failure,no
37.0,student,divorced,primary,46860,no,yes,telephone,49.0,1.0,nonexistent,no
18.0,self-employed,single,tertiary,58388,yes,no,telephone,3.0,1.0,failure,yes
28.0,management,divorced,primary,80458,yes,yes,telephone,43.0,4.0,nonexistent,no
32.0,student,single,primary,10232,no,no,cellular,40.0,1.0,nonexistent,no
41.0,services,single,secondary,7092,no,yes,telephone,14.0,4.0,nonexistent,no
55.0,retired,divorced,tertiary,32234,no,yes,cellular,12.0,2.0,failure,yes
52.0,unemployed,single,secondary,16117,yes,yes,telephone,28.0,3.0,nonexistent,yes
47.0,self-employed,married,primary,31258,no,no,telephone,39.0,4.0,nonexistent,yes
48.0,technician,married,secondary,94726,no,no,cellular,18.0,3.0,nonexistent,yes
61.0,management,divorced,secondary,16302,no,yes,telephone,6.0,1.0,nonexistent,yes
31.0,management,married,primary,Auto%#,yes,no,cellular,30.0,4.0,failure,yes
73.0,services,married,tertiary,85945,yes,no,telephone,34.0,3.0,nonexistent,yes
28.0,self-employed,divorced,tertiary,40446,no,yes,telephone,19.0,1.0,success,no
51.0,services,divorced,secondary,69635,no,no,cellular,25.131025957972806,1.0,nonexistent,yes
46.18152922479251,services,married,tertiary,47349,yes,yes,telephone,16.0,1.0,failure,yes
46.18152922479251,management,divorced,primary,44578,yes,yes,cellular,26.0,0.0,success,yes
18.0,management,single,tertiary,7726,no,no,cellular,1.0,4.0,nonexistent,yes
46.0,unemployed,single,secondary,6102,yes,no,telephone,48.0,3.0,failure,yes
58.0,unemployed,married,primary,31363,no,no,cellular,9.0,2.0,success,yes
54.0,management,single,primary,71866,no,no,cellular,26.0,3.0,nonexistent,no
31.0,unemployed,married,primary,63777,yes,yes,cellular,6.0,1.0,nonexistent,no
47.0,blue-collar,divorced,secondary,16747,no,yes,cellular,7.0,2.0,success,no
52.0,retired,divorced,secondary,45770,no,yes,telephone,13.0,0.0,success,no
38.0,retired,married,tertiary,47884,yes,yes,telephone,49.0,3.0,failure,yes
54.0,student,divorced,secondary,63670,yes,no,cellular,10.0,0.0,failure,yes
22.0,student,divorced,primary,91371,yes,no,cellular,43.0,1.0,success,no
36.0,admin,married,secondary,83681,no,no,telephone,46.0,3.0,nonexistent,no
43.0,self-employed,single,secondary,58484,yes,yes,cellular,31.0,0.0,success,yes
21.0,unemployed,single,primary,41084,no,no,cellular,48.0,0.0,failure,no
42.0,services,single,tertiary,94655,yes,yes,telephone,37.0,2.0,success,yes
59.0,self-employed,divorced,primary,5179,no,no,telephone,11.0,1.0,failure,yes
35.0,self-employed,divorced,tertiary,43813,no,yes,cellular,28.0,2.0,failure,no
25.0,blue-collar,divorced,primary,Auto%#,yes,yes,cellular,25.0,2.0,success,yes
57.0,entrepreneur,single,tertiary,67942,no,no,telephone,42.0,4.0,failure,yes
31.0,management,single,primary,93539,yes,no,telephone,11.0,3.0,nonexistent,no
49.0,entrepreneur,married,tertiary,17748,yes,no,telephone,33.0,3.0,success,no
68.0,services,married,primary,86688,no,yes,telephone,5.0,1.0,success,yes
55.0,student,single,primary,73127,no,no,telephone,34.0,1.0,nonexistent,yes
50.0,unemployed,divorced,secondary,7742,no,yes,cellular,32.0,2.0004504098729843,failure,no
40.0,management,married,tertiary,1411,yes,no,cellular,43.0,0.0,failure,yes
32.0,self-employed,divorced,secondary,80002,yes,yes,telephone,46.0,3.0,success,no
50.0,blue-collar,single,tertiary,36464,yes,no,cellular,24.0,4.0,nonexistent,no
50.0,blue-collar,single,secondary,29108,no,no,cellular,6.0,1.0,failure,no
64.0,blue-collar,married,secondary,82360,no,no,telephone,34.0,1.0,failure,no
72.0,student,divorced,secondary,69296,no,no,cellular,25.0,1.0,nonexistent,no
19.0,self-employed,single,secondary,81702,yes,no,telephone,41.0,0.0,nonexistent,yes
70.0,blue-collar,divorced,primary,44662,yes,yes,telephone,46.0,3.0,nonexistent,yes
57.0,services,single,secondary,60421,no,no,cellular,13.0,4.0,nonexistent,yes
68.0,blue-collar,single,tertiary,23180,yes,no,cellular,44.0,3.0,nonexistent,yes
46.18152922479251,retired,married,secondary,79624,no,no,telephone,13.0,2.0004504098729843,nonexistent,yes
23.0,management,married,primary,10525,yes,yes,cellular,7.0,2.0,success,no
24.0,admin,divorced,secondary,60782,yes,yes,cellular,9.0,1.0,success,yes
68.0,blue-collar,divorced,primary,77818,yes,no,telephone,14.0,2.0,nonexistent,yes
25.0,services,married,tertiary,32846,yes,no,cellular,30.0,4.0,nonexistent,no
69.0,entrepreneur,married,secondary,93122,no,yes,cellular,38.0,2.0,success,yes
64.0,technician,married,secondary,11916,yes,no,cellular,33.0,4.0,nonexistent,yes
46.0,student,single,primary,28926,no,no,cellular,25.0,0.0,failure,no
50.0,retired,married,primary,40941,yes,no,cellular,31.0,0.0,nonexistent,yes
69.0,technician,married,primary,58294,no,yes,cellular,23.0,4.0,failure,yes
47.0,services,divorced,primary,17684,yes,no,cellular,27.0,0.0,success,yes
56.0,student,single,primary,14966,no,yes,telephone,33.0,3.0,failure,yes
44.0,management,divorced,secondary,88571,no,no,cellular,47.0,3.0,nonexistent,no
46.0,blue-collar,single,tertiary,73704,no,no,cellular,20.0,0.0,failure,no
74.0,admin,married,primary,72011,yes,no,cellular,8.0,3.0,nonexistent,yes
44.0,technician,divorced,secondary,51264,no,yes,cellular,31.0,1.0,nonexistent,no
72.0,services,single,tertiary,97542,no,no,cellular,44.0,3.0,success,yes
50.0,retired,divorced,tertiary,0,no,yes,telephone,24.0,0.0,success,no
21.0,services,single,primary,19902,no,yes,telephone,15.0,1.0,nonexistent,no
19.0,management,single,secondary,3363,no,yes,telephone,31.0,2.0,success,yes
27.0,unemployed,single,secondary,99470,no,no,cellular,5.0,1.0,failure,yes
22.0,blue-collar,divorced,primary,57397,no,no,telephone,22.0,3.0,nonexistent,yes
50.0,admin,single,tertiary,134,yes,no,cellular,28.0,3.0,success,yes
71.0,admin,divorced,tertiary,63126,yes,yes,cellular,3.0,2.0004504098729843,failure,yes
30.0,entrepreneur,married,tertiary,39379,no,yes,cellular,38.0,2.0,failure,no
48.0,technician,married,secondary,89938,yes,no,telephone,27.0,3.0,success,yes
53.0,unemployed,divorced,tertiary,83609,no,yes,telephone,32.0,3.0,success,yes
69.0,unemployed,divorced,primary,39166,no,yes,telephone,37.0,3.0,failure,no
73.0,entrepreneur,single,tertiary,87292,yes,yes,cellular,11.0,1.0,success,yes
46.0,unemployed,divorced,primary,87170,yes,yes,telephone,30.0,2.0004504098729843,failure,yes
46.0,unemployed,married,secondary,94804,yes,no,cellular,49.0,1.0,success,no
64.0,unemployed,single,secondary,1796,yes,yes,telephone,43.0,2.0004504098729843,failure,no
29.0,admin,single,secondary,16564,yes,no,cellular,26.0,0.0,success,yes
44.0,unemployed,single,tertiary,78848,no,no,telephone,26.0,4.0,success,yes
68.0,admin,single,secondary,76743,no,yes,cellular,18.0,4.0,success,no
68.0,services,married,secondary,64982,no,yes,cellular,33.0,2.0004504098729843,success,yes
53.0,retired,divorced,primary,64487,yes,yes,telephone,36.0,2.0,nonexistent,yes
43.0,student,divorced,primary,65253,yes,no,telephone,34.0,1.0,success,yes
60.0,self-employed,single,primary,0,yes,no,cellular,26.0,1.0,nonexistent,yes
46.18152922479251,management,divorced,primary,9390,yes,no,cellular,22.0,2.0004504098729843,success,no
22.0,blue-collar,divorced,tertiary,54627,no,no,cellular,24.0,2.0,failure,yes
28.0,admin,single,primary,79013,no,yes,telephone,11.0,1.0,nonexistent,no
27.0,self-employed,divorced,tertiary,81516,yes,yes,telephone,21.0,1.0,success,no
57.0,student,married,primary,28950,no,yes,cellular,16.0,2.0,nonexistent,no
55.0,technician,single,primary,70130,yes,no,telephone,36.0,1.0,nonexistent,no
23.0,entrepreneur,married,secondary,60963,no,no,cellular,7.0,4.0,success,no
25.0,student,married,secondary,42693,no,no,cellular,28.0,1.0,success,no
40.0,services,married,secondary,17600,yes,yes,cellular,24.0,3.0,success,no
64.0,student,married,secondary,72634,yes,no,cellular,13.0,0.0,nonexistent,no
60.0,management,divorced,secondary,12012,no,no,telephone,31.0,3.0,success,no
29.0,blue-collar,single,secondary,28702,no,no,cellular,8.0,2.0,nonexistent,yes
30.0,retired,married,primary,8346,no,yes,cellular,40.0,4.0,success,yes
57.0,self-employed,married,secondary,12428,yes,no,telephone,17.0,1.0,success,yes
35.0,management,single,secondary,3755,yes,yes,telephone,41.0,2.0,nonexistent,no
42.0,entrepreneur,divorced,secondary,4283,no,yes,telephone,13.0,1.0,failure,no
50.0,retired,married,primary,47036,yes,yes,telephone,47.0,3.0,nonexistent,no
64.0,technician,single,secondary,-663,no,no,telephone,27.0,0.0,failure,no
57.0,admin,single,secondary,57786,yes,no,telephone,13.0,2.0,nonexistent,yes
61.0,unemployed,single,primary,88472,yes,no,cellular,32.0,4.0,success,no
21.0,technician,married,tertiary,14214,no,no,telephone,13.0,2.0,nonexistent,yes
22.0,admin,divorced,secondary,39532,yes,no,cellular,16.0,1.0,nonexistent,yes
73.0,unemployed,divorced,primary,24531,no,yes,telephone,34.0,0.0,success,no
25.0,services,single,tertiary,33812,yes,no,cellular,48.0,0.0,nonexistent,yes
66.0,blue-collar,single,primary,68554,no,yes,telephone,17.0,4.0,failure,yes
45.0,student,married,tertiary,61883,no,yes,telephone,47.0,1.0,success,yes
26.0,self-employed,single,tertiary,91404,no,no,cellular,14.0,3.0,success,no
71.0,unemployed,divorced,secondary,50398,no,no,cellular,7.0,1.0,nonexistent,yes
46.0,services,single,tertiary,29090,yes,no,telephone,12.0,3.0,nonexistent,yes
39.0,self-employed,single,secondary,8091,yes,no,cellular,28.0,0.0,success,no
40.0,services,single,primary,17039,yes,yes,telephone,21.0,3.0,nonexistent,yes
18.0,blue-collar,single,tertiary,41289,yes,yes,telephone,39.0,3.0,success,no
54.0,unemployed,divorced,tertiary,19919,yes,yes,telephone,38.0,1.0,nonexistent,no
38.0,entrepreneur,married,primary,40016,yes,yes,cellular,34.0,4.0,nonexistent,yes
43.0,self-employed,divorced,primary,73234,yes,yes,cellular,21.0,0.0,failure,yes
53.0,self-employed,married,tertiary,19444,no,yes,telephone,49.0,0.0,success,yes
46.18152922479251,unemployed,married,primary,46051,no,no,telephone,45.0,1.0,nonexistent,yes
71.0,technician,single,tertiary,68457,no,yes,cellular,32.0,3.0,failure,no
72.0,self-employed,married,secondary,44113,yes,no,cellular,8.0,0.0,success,yes
57.0,self-employed,married,primary,63143,yes,yes,cellular,11.0,1.0,nonexistent,no
64.0,unemployed,married,secondary,88478,yes,no,telephone,1.0,2.0004504098729843,failure,yes
70.0,self-employed,single,primary,64329,yes,yes,cellular,11.0,4.0,nonexistent,no
27.0,retired,married,secondary,51883,yes,no,telephone,30.0,0.0,nonexistent,yes
69.0,services,married,tertiary,77529,no,yes,telephone,5.0,0.0,nonexistent,no
74.0,retired,married,primary,0,yes,no,telephone,25.131025957972806,2.0,success,no
70.0,self-employed,married,primary,89069,yes,no,telephone,24.0,0.0,success,yes
43.0,self-employed,married,secondary,67131,yes,no,telephone,31.0,3.0,success,no
42.0,self-employed,single,primary,48721,yes,yes,cellular,15.0,4.0,success,no
43.0,admin,married,primary,256,no,no,cellular,36.0,2.0004504098729843,nonexistent,no
28.0,admin,divorced,secondary,10101,yes,no,telephone,10.0,4.0,failure,no
46.18152922479251,unemployed,single,secondary,92944,yes,no,telephone,44.0,2.0,nonexistent,no
44.0,self-employed,married,primary,34944,no,no,telephone,43.0,3.0,nonexistent,yes
51.0,unemployed,married,tertiary,71497,no,yes,cellular,43.0,4.0,nonexistent,yes
44.0,student,divorced,tertiary,13416,no,yes,cellular,49.0,1.0,success,no
60.0,technician,single,primary,6429,no,no,telephone,1.0,4.0,success,yes
68.0,unemployed,married,primary,58632,no,yes,cellular,20.0,4.0,failure,yes
71.0,student,single,tertiary,22290,no,yes,cellular,22.0,3.0,failure,no
41.0,technician,married,secondary,60489,yes,no,telephone,25.0,0.0,nonexistent,yes
42.0,student,single,primary,53153,no,yes,cellular,36.0,3.0,nonexistent,no
24.0,management,married,tertiary,32500,yes,yes,telephone,37.0,2.0,nonexistent,no
69.0,entrepreneur,divorced,tertiary,42021,yes,yes,telephone,46.0,1.0,nonexistent,no
23.0,services,married,primary,97118,no,no,cellular,45.0,0.0,failure,yes
41.0,unemployed,divorced,primary,64722,no,yes,telephone,19.0,1.0,nonexistent,no
50.0,technician,single,tertiary,54733,yes,yes,telephone,19.0,0.0,failure,no
66.0,blue-collar,single,primary,82145,no,no,telephone,16.0,0.0,failure,yes
46.0,unemployed,divorced,secondary,7176,yes,no,cellular,21.0,2.0,nonexistent,yes
39.0,retired,married,primary,95491,no,yes,cellular,42.0,0.0,failure,no
43.0,blue-collar,single,tertiary,19557,no,yes,telephone,31.0,2.0,failure,no
45.0,admin,married,tertiary,92274,yes,no,telephone,34.0,2.0004504098729843,nonexistent,no
67.0,retired,divorced,primary,88655,yes,yes,cellular,15.0,0.0,success,no
66.0,admin,divorced,tertiary,80439,yes,yes,telephone,26.0,4.0,nonexistent,no
34.0,student,married,secondary,3041,yes,yes,telephone,31.0,4.0,success,no
58.0,retired,married,primary,86790,no,no,cellular,4.0,1.0,nonexistent,yes
66.0,self-employed,single,primary,54365,no,yes,telephone,12.0,3.0,nonexistent,yes
37.0,blue-collar,divorced,tertiary,38527,no,yes,cellular,19.0,2.0,success,no
71.0,admin,married,secondary,7250,yes,yes,telephone,9.0,0.0,nonexistent,yes
39.0,blue-collar,married,primary,90348,yes,no,telephone,25.0,2.0,failure,yes
45.0,retired,single,tertiary,23688,no,yes,cellular,48.0,1.0,failure,yes
24.0,student,married,primary,34798,no,no,telephone,7.0,3.0,failure,yes
18.0,admin,divorced,secondary,71863,yes,yes,cellular,27.0,0.0,failure,yes
49.0,admin,divorced,tertiary,-864,no,no,cellular,48.0,0.0,nonexistent,no
47.0,unemployed,married,tertiary,89474,yes,no,cellular,43.0,4.0,nonexistent,no
36.0,unemployed,divorced,secondary,57916,yes,no,telephone,14.0,1.0,success,no
49.0,unemployed,divorced,secondary,28893,no,no,telephone,6.0,4.0,failure,no
46.0,admin,single,primary,34171,no,yes,cellular,18.0,4.0,nonexistent,no
62.0,unemployed,single,tertiary,64484,yes,no,cellular,16.0,3.0,success,no
46.0,services,married,tertiary,96238,no,yes,cellular,3.0,1.0,failure,no
47.0,technician,divorced,tertiary,39063,no,yes,telephone,31.0,2.0,failure,yes
33.0,blue-collar,single,primary,22193,yes,yes,cellular,38.0,4.0,nonexistent,yes
57.0,technician,single,secondary,70743,yes,yes,cellular,17.0,3.0,failure,yes
36.0,management,single,secondary,7238,no,yes,cellular,5.0,1.0,success,no
35.0,admin,divorced,tertiary,5419,no,no,telephone,16.0,3.0,nonexistent,yes
18.0,student,single,primary,18410,yes,no,telephone,17.0,2.0,success,yes
31.0,self-employed,divorced,tertiary,3956,yes,yes,telephone,31.0,0.0,success,yes
68.0,unemployed,divorced,secondary,78161,yes,no,telephone,16.0,0.0,failure,yes
67.0,admin,married,tertiary,70858,no,yes,telephone,41.0,3.0,failure,yes
19.0,unemployed,married,tertiary,66150,yes,no,telephone,39.0,4.0,nonexistent,no
71.0,student,divorced,tertiary,23539,yes,no,cellular,37.0,3.0,failure,no
45.0,management,divorced,secondary,66807,no,no,telephone,41.0,0.0,nonexistent,yes
66.0,unemployed,married,primary,7029,no,no,telephone,10.0,3.0,nonexistent,no
68.0,management,single,tertiary,45989,no,no,telephone,39.0,3.0,failure,no
46.18152922479251,retired,divorced,secondary,92631,no,no,telephone,37.0,3.0,success,yes
25.0,blue-collar,married,tertiary,41162,yes,yes,cellular,38.0,1.0,nonexistent,yes
46.0,unemployed,single,primary,17718,yes,yes,telephone,28.0,0.0,failure,yes
49.0,blue-collar,divorced,primary,72608,no,yes,telephone,10.0,0.0,failure,yes
27.0,unemployed,divorced,primary,3217,yes,no,cellular,48.0,2.0,nonexistent,yes
36.0,admin,single,primary,94796,no,no,telephone,33.0,2.0004504098729843,nonexistent,yes
50.0,blue-collar,married,secondary,32500,no,no,telephone,5.0,2.0,failure,no
72.0,services,married,primary,93120,no,yes,telephone,21.0,3.0,nonexistent,no
45.0,unemployed,single,primary,77652,no,yes,telephone,11.0,4.0,failure,yes
49.0,technician,single,secondary,47953,no,no,cellular,7.0,4.0,success,no
46.0,management,single,primary,19155,yes,no,cellular,30.0,2.0,success,yes
25.0,technician,single,primary,30389,yes,yes,telephone,14.0,0.0,nonexistent,no
74.0,student,divorced,tertiary,31183,no,no,telephone,44.0,0.0,nonexistent,no
20.0,blue-collar,single,primary,30121,yes,no,telephone,25.131025957972806,2.0,success,yes
41.0,self-employed,single,primary,25541,no,no,cellular,7.0,0.0,success,yes
40.0,blue-collar,married,secondary,34105,no,no,cellular,38.0,2.0004504098729843,failure,yes
64.0,self-employed,married,primary,56879,no,no,cellular,17.0,0.0,nonexistent,yes
50.0,student,single,secondary,49944,no,no,cellular,10.0,1.0,failure,yes
45.0,management,single,secondary,29027,no,yes,telephone,14.0,3.0,nonexistent,no
51.0,retired,married,primary,19480,yes,yes,cellular,14.0,1.0,success,yes
52.0,admin,divorced,primary,35624,no,yes,telephone,10.0,2.0,nonexistent,yes
49.0,entrepreneur,married,primary,67191,yes,yes,telephone,44.0,3.0,nonexistent,yes
41.0,unemployed,married,primary,88404,yes,no,cellular,39.0,4.0,failure,yes
31.0,admin,married,primary,47028,no,yes,telephone,40.0,3.0,failure,no
49.0,management,single,primary,94665,yes,no,telephone,29.0,3.0,failure,no
73.0,self-employed,single,secondary,51445,yes,yes,telephone,45.0,1.0,nonexistent,no
63.0,services,divorced,tertiary,79999,yes,yes,cellular,6.0,2.0,success,yes
60.0,retired,married,secondary,93616,yes,no,cellular,40.0,1.0,success,yes
33.0,unemployed,single,primary,43192,no,no,cellular,31.0,0.0,failure,no
21.0,services,married,tertiary,67844,yes,yes,cellular,37.0,2.0,failure,yes
69.0,management,divorced,tertiary,16246,no,yes,telephone,9.0,0.0,failure,no
71.0,entrepreneur,divorced,primary,48111,no,yes,cellular,45.0,1.0,failure,no
38.0,unemployed,single,primary,75006,yes,yes,cellular,33.0,3.0,failure,no
48.0,self-employed,divorced,tertiary,38882,no,no,telephone,38.0,3.0,failure,no
72.0,student,single,tertiary,57557,yes,no,cellular,8.0,3.0,nonexistent,yes
65.0,retired,single,primary,58918,yes,yes,telephone,34.0,2.0,success,no
24.0,blue-collar,divorced,primary,8669,no,no,telephone,17.0,2.0,success,yes
27.0,blue-collar,divorced,tertiary,9443,no,no,cellular,30.0,4.0,success,yes
40.0,self-employed,single,tertiary,5235,no,yes,telephone,15.0,0.0,success,no
38.0,technician,single,primary,73450,no,yes,cellular,45.0,3.0,nonexistent,yes
36.0,management,divorced,primary,48313,yes,no,telephone,20.0,2.0004504098729843,nonexistent,yes
65.0,blue-collar,single,primary,40849,yes,yes,telephone,25.0,1.0,success,yes
36.0,services,divorced,secondary,49192,yes,yes,telephone,14.0,3.0,success,no
